연도,시도,총학생수,총학급수,특수학급수,학급당_학생수,특수학급_비율,총학업중단자,총학생수_기준,학업중단률,학업중단률_중,학업중단률_고,자퇴_합계,전출_합계,전입_합계,순전출,다문화학생_합계,중도입국_합계,해외출국_합계,학생1인당_교지면적_평균,학생1인당_건물면적_평균,다문화학생_비율,중도입국_비율,해외출국_비율,자퇴_비율,proxy_index,GRDP_1인당,사교육_참여율,사교육_참여율_초,사교육_참여율_중,사교육_참여율_고,사교육비_1인당_만원,교원1인당_학생수,미달률_고_실측,미달률_중_실측,미달률_평균_실측,전국_미달률_중,전국_미달률_고,전국_미달률_평균,proxy_index_old,proxy_index_source,proxy_risk_pct,proxy_risk_score,proxy_index_v3,학력향상_억원,학력향상_세출비중,세출액,학력향상_학생당_천원
2013,강원,194543,8146,343,23.88,4.211,1981.0,201546.0,0.983,0.8,2.2,1218,9511,9433,78,2660,79,403,61.17215889969173,17.644707614782156,1.367,0.0406,0.2072,0.6261,32.62,24094.0,61.9,76.1,65.0,37.8,17.2,17.26,3.3000000000000003,4.666666666666667,3.983333333333333,,,,80.55,위험도합성지수(Ridge),3.515,32.62,3.983,42.9094306,0.18562252330586376,2311650000000.0,22.056527657124647
2014,강원,188408,8061,327,23.37,4.057,1635.0,194543.0,0.84,0.5,1.8,994,8386,8063,323,3080,99,311,62.89574285797389,18.301998883569954,1.635,0.0525,0.1651,0.5276,33.18,25676.0,60.9,74.2,62.0,40.8,16.7,16.75,3.85,4.716666666666667,4.283333333333333,,,,59.41,위험도합성지수(Ridge),3.561,33.18,4.283,52.0041507,0.21723701047249455,2393890000000.0,27.6018803341684
2015,강원,181323,8048,343,22.53,4.262,1379.0,188408.0,0.732,0.5,1.4,729,7493,7338,155,3452,139,345,65.30634358770054,19.460591112126504,1.904,0.0767,0.1903,0.402,37.07,26946.0,62.2,75.4,64.2,41.7,17.1,16.23,4.4,4.766666666666667,4.583333333333333,3.533333333333333,4.166666666666667,3.85,46.58,위험도합성지수(Ridge),3.881,37.07,4.583,44.1939177,0.18272520342346812,2418600000000.0,24.37303469499181
2016,강원,174287,7955,349,21.91,4.387,1246.0,181323.0,0.687,0.5,1.4,696,7248,7114,134,3858,175,277,67.29904417641757,20.30016374139744,2.214,0.1004,0.1589,0.3993,41.99,28328.0,61.4,72.9,65.6,41.4,18.4,15.84,4.933333333333334,5.3,5.116666666666667,3.633333333333333,4.533333333333333,4.083333333333333,48.39,위험도합성지수(Ridge),4.286,41.99,5.117,50.2639982,0.20196158856311702,2488790000000.0,28.83978621469186
2017,강원,167595,7931,350,21.13,4.413,1306.0,174287.0,0.749,0.5,1.5,745,7169,7038,131,3897,170,226,70.7490386727833,21.40405149856463,2.325,0.1014,0.1348,0.4445,45.95,29925.0,65.5,77.6,62.9,49.4,20.3,15.3,,,,4.3,6.333333333333333,5.316666666666666,40.01,위험도합성지수(Ridge),4.612,45.95,6.501,57.7572547,0.19971595383077972,2891970000000.0,34.462397267221576
2018,강원,161530,7892,355,20.47,4.498,1414.0,167595.0,0.844,0.5,1.6,783,6322,6094,228,4104,134,266,74.54948587441311,22.574366029846303,2.541,0.083,0.1647,0.4847,49.14,30856.0,65.8,79.0,65.3,44.9,20.5,14.85,,,,6.933333333333334,6.666666666666667,6.800000000000001,40.35,위험도합성지수(Ridge),4.874,49.14,8.314,61.1539892,0.19559324759562333,3126590000000.0,37.8592145112363
2019,강원,155888,7868,354,19.81,4.499,1398.0,161530.0,0.865,0.6,1.8,821,6311,6061,250,4428,156,230,77.7765474652807,23.91989776215441,2.841,0.1001,0.1475,0.5267,55.65,32192.0,65.7,77.8,60.2,49.0,22.0,14.39,,,,6.4,5.533333333333334,5.966666666666667,44.65,위험도합성지수(Ridge),5.41,55.65,7.295,62.338064,0.1835167301566741,3396860000000.0,39.98900749255876
2020,강원,151120,7771,355,19.45,4.568,1353.0,155888.0,0.868,0.6,1.9,757,7234,7432,-198,4629,149,190,81.09826589893534,25.19108467379065,3.063,0.0986,0.1257,0.5009,58.52,32026.0,63.6,71.5,61.5,51.2,22.6,13.87,,,,8.966666666666667,9.633333333333333,9.3,42.92,위험도합성지수(Ridge),5.646,58.52,11.371,64.9443153,0.1992951646362046,3258700000000.0,42.97532775277924
2021,강원,148634,7717,357,19.26,4.626,824.0,151120.0,0.545,0.4,1.2,447,6763,6727,36,4897,155,109,82.58744374335016,25.965410615506823,3.295,0.1043,0.0733,0.3007,56.43,33679.0,69.7,78.0,66.6,56.9,26.6,13.46,,,,7.833333333333333,10.366666666666664,9.1,6.45,위험도합성지수(Ridge),5.474,56.43,11.126,183.5745167,0.5177048523236499,3545930000000.0,123.50775508968339
2022,강원,146273,7661,361,19.09,4.712,1066.0,148634.0,0.717,0.4,1.6,610,6973,5964,1009,4963,169,101,84.43409674540455,26.64287025862737,3.393,0.1155,0.069,0.417,63.59,34426.0,70.3,80.4,67.0,54.3,29.6,13.14,,,,11.1,10.766666666666666,10.933333333333334,19.7,위험도합성지수(Ridge),6.063,63.59,13.368,87.11481,0.2588422537019143,3365556000000.0,59.556315929802494
